date,Adj Close,close,high,low,open,volume
,PEN=X,PEN=X,PEN=X,PEN=X,PEN=X,PEN=X
2025-12-01,3.2869770526885986,3.2869770526885986,3.2919259071350098,3.285079002380371,3.285079002380371,0
2025-12-02,3.371000051498413,3.371000051498413,3.371000051498413,3.2985050678253174,3.371000051498413,0
2025-12-03,3.365999937057495,3.365999937057495,3.365999937057495,3.296597957611084,3.296597957611084,0
2025-12-04,3.359999895095825,3.359999895095825,3.359999895095825,3.295098066329956,3.299793004989624,0
2025-12-05,3.359999895095825,3.359999895095825,3.3018128871917725,3.291490077972412,3.3018128871917725,0
2025-12-08,3.292167901992798,3.292167901992798,3.295177936553955,3.291208028793335,3.291208028793335,0
2025-12-09,3.295177936553955,3.295177936553955,3.3610000610351562,3.29606294631958,3.3610000610351562,0
2025-12-10,3.361999988555908,3.361999988555908,3.2994799613952637,3.2932400703430176,3.2994799613952637,0
2025-12-11,3.2764430046081543,3.2764430046081543,3.3012969493865967,3.2735040187835693,3.2743709087371826,0
2025-12-12,3.368000030517578,3.368000030517578,3.2994279861450195,3.2959659099578857,3.2959659099578857,0
2025-12-15,3.2933459281921387,3.2933459281921387,3.2983899116516113,3.2944400310516357,3.2944400310516357,0
2025-12-16,3.367500066757202,3.367500066757202,3.300041913986206,3.298516035079956,3.298516035079956,0
2025-12-17,3.368000030517578,3.368000030517578,3.368000030517578,3.298185110092163,3.304395914077759,0
2025-12-18,3.36299991607666,3.36299991607666,3.300708055496216,3.292102098464966,3.292102098464966,0
2025-12-19,3.3635001182556152,3.3635001182556152,3.2994329929351807,3.2975831031799316,3.2975831031799316,0
2025-12-22,3.29951810836792,3.29951810836792,3.364000082015991,3.295746088027954,3.297518014907837,0
2025-12-23,3.365999937057495,3.365999937057495,3.365999937057495,3.287337064743042,3.2880489826202393,0
2025-12-24,3.36299991607666,3.36299991607666,3.2975869178771973,3.2953710556030273,3.29732608795166,0
2025-12-26,3.36299991607666,3.36299991607666,3.2975869178771973,3.2953710556030273,3.29732608795166,0
2025-12-29,3.2975869178771973,3.2975869178771973,3.36299991607666,3.3011341094970703,3.3011341094970703,0
2025-12-30,3.365000009536743,3.365000009536743,3.2994298934936523,3.2967751026153564,3.2967751026153564,0
2025-12-31,3.361999988555908,3.361999988555908,3.306104898452759,3.2943310737609863,3.3056399822235107,0
2026-01-02,3.2978808879852295,3.2978808879852295,3.2914159297943115,3.2914159297943115,3.2914159297943115,0
2026-01-05,3.2952659130096436,3.2952659130096436,3.2992660999298096,3.2916300296783447,3.2983779907226562,0
2026-01-06,3.361999988555908,3.361999988555908,3.293442964553833,3.2793619632720947,3.2793619632720947,0
2026-01-07,3.361999988555908,3.361999988555908,3.297806978225708,3.2953290939331055,3.297806978225708,0
2026-01-08,3.361999988555908,3.361999988555908,3.2976291179656982,3.295224905014038,3.2976291179656982,0
