slice_group,slice_value,threshold,n,accuracy,precision,recall,f1,pr_auc,tn,fp,fn,tp,problem_score
slice_time_window,final_periodo,0.5,29,0.4827586206896552,0.8,0.38095238095238093,0.5161290322580645,0.8019474445727706,6,2,13,8,1.0673234811165846
slice_time_window,inicio_periodo,0.5,30,0.9333333333333333,0.0,0.0,0.0,,28,2,0,0,1.0
slice_news_volume,volumen_medio,0.5,29,0.7586206896551724,0.6,0.375,0.46153846153846156,0.5235645933014355,19,2,5,3,0.7974137931034483
slice_confidence,confianza_baja,0.5,30,0.6666666666666666,0.8181818181818182,0.5294117647058824,0.6428571428571429,0.7499782495418772,11,2,8,9,0.7372549019607844
slice_strength,intensidad_baja,0.5,30,0.7,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.8315626817977503,11,2,7,10,0.6450980392156862
