date,asset,n_news_total,sent_index_mean,sent_index_strength,share_pos,share_neg,share_neu,open,close,fx_diff,fx_return,real_dir,target_up,prob_up_baseline,pred_up_baseline,signal_baseline,hit_baseline,prob_up_var1,pred_up_var1,signal_var1,hit_var1,prob_up_rf,pred_up_rf,signal_rf,hit_rf
2025-07-09,USD/PEN,28,0.1065455062447914,0.0815614575679785,0.0357142857142857,0.0,0.9642857142857144,3.5420000553131104,3.5420000553131104,0.0,0.0,FLAT,0,0.9431818181818182,1,UP,False,0.8522727272727273,1,UP,False,0.22635449044266143,0,NO_UP,True
2025-07-14,USD/PEN,29,0.1522708459082862,0.1060982019705778,0.0689655172413793,0.0,0.9310344827586208,3.476722002029419,3.476722002029419,0.0,0.0,FLAT,0,0.5454545454545454,1,UP,False,0.7954545454545454,1,UP,False,0.08730915509395064,0,NO_UP,True
2025-07-16,USD/PEN,28,0.189610595449007,0.1344250924642536,0.1428571428571428,0.0,0.8571428571428571,3.560499906539917,3.560499906539917,0.0,0.0,FLAT,0,0.9090909090909091,1,UP,False,0.7727272727272727,1,UP,False,0.31507016655444453,0,NO_UP,True
2025-07-17,USD/PEN,29,0.1050313024556842,0.0790393905692456,0.0689655172413793,0.0,0.9310344827586208,3.5445001125335693,3.5445001125335693,0.0,0.0,FLAT,0,0.9659090909090909,1,UP,False,0.9431818181818182,1,UP,False,0.05235952033981238,0,NO_UP,True
2025-07-22,USD/PEN,29,0.1364395363449022,0.0983038297442942,0.0689655172413793,0.0,0.9310344827586208,3.559000015258789,3.559000015258789,0.0,0.0,FLAT,0,0.5,1,UP,False,0.8977272727272727,1,UP,False,0.031212830057458132,0,NO_UP,True
2025-07-24,USD/PEN,29,0.1400115981954952,0.1010604249433202,0.0,0.0,1.0,3.553499937057495,3.553499937057495,0.0,0.0,FLAT,0,0.7386363636363636,1,UP,False,0.6818181818181818,1,UP,False,0.4238846323441199,0,NO_UP,True
2025-07-25,USD/PEN,27,0.1517970876561271,0.1053019322228376,0.1111111111111111,0.0,0.8888888888888888,3.553499937057495,3.553499937057495,0.0,0.0,FLAT,0,0.8068181818181818,1,UP,False,0.8295454545454546,1,UP,False,0.33642211692032253,0,NO_UP,True
2025-07-31,USD/PEN,30,0.0989449656568467,0.0701767478932747,0.0333333333333333,0.0,0.9666666666666668,3.568000078201294,3.568000078201294,0.0,0.0,FLAT,0,0.8977272727272727,1,UP,False,0.8863636363636364,1,UP,False,0.07930330097185923,0,NO_UP,True
2025-08-04,USD/PEN,26,0.118662671580051,0.0856042669422228,0.0384615384615384,0.0,0.9615384615384616,3.4681849479675293,3.4681849479675293,0.0,0.0,FLAT,0,0.4318181818181818,0,NO_UP,True,0.7272727272727273,1,UP,False,0.031212830057458132,0,NO_UP,True
2025-08-05,USD/PEN,3,0.104286932076017,0.0819138465478069,0.0,0.0,1.0,3.569999933242798,3.569999933242798,0.0,0.0,FLAT,0,0.625,1,UP,False,0.6136363636363636,1,UP,False,0.2757893092198213,0,NO_UP,True
2025-08-07,USD/PEN,28,0.1196672515278416,0.08916019224588,0.0357142857142857,0.0,0.9642857142857144,3.553999900817871,3.553999900817871,0.0,0.0,FLAT,0,0.4772727272727273,0,NO_UP,True,0.6477272727272727,1,UP,False,0.4341563860966882,0,NO_UP,True
2025-08-08,USD/PEN,2,0.0608937758952379,0.0546440433252698,0.0,0.0,1.0,3.553999900817871,3.553999900817871,0.0,0.0,FLAT,0,0.6363636363636364,1,UP,False,0.6590909090909091,1,UP,False,0.40823516047058134,0,NO_UP,True
2025-08-11,USD/PEN,1,0.0310935862362384,0.0291005309960779,0.0,0.0,1.0,3.4663751125335693,3.4663751125335693,0.0,0.0,FLAT,0,0.2159090909090909,0,NO_UP,True,0.38636363636363635,0,NO_UP,True,0.3880102796781741,0,NO_UP,True
