slice_group,slice_value,metric,mean_bootstrap,ci_95_low,ci_95_high,n
slice_news_volume,volumen_bajo,f1,0.7742425800449803,0.5714285714285714,0.9375919117647058,30
slice_news_volume,volumen_bajo,recall,0.7494874143142718,0.5,1.0,30
slice_news_volume,volumen_bajo,precision,0.8178404828917213,0.5714285714285714,1.0,30
slice_news_volume,volumen_bajo,accuracy,0.8330333333333335,0.7,0.9333333333333333,30
slice_news_volume,volumen_bajo,pr_auc,0.9244387380873978,0.7960946969696969,1.0,30
slice_news_volume,volumen_medio,f1,0.44631798842981096,0.0,0.7692307692307693,29
slice_news_volume,volumen_medio,recall,0.3790259754134754,0.0,0.7506944444444438,29
slice_news_volume,volumen_medio,precision,0.60329613997114,0.0,1.0,29
slice_news_volume,volumen_medio,accuracy,0.7607241379310344,0.5862068965517241,0.896551724137931,29
slice_news_volume,volumen_medio,pr_auc,0.5582467020248544,0.21847826086956523,0.8508470394736841,29
slice_news_volume,volumen_alto,f1,0.7930126536344699,0.6206896551724138,0.926829268292683,29
slice_news_volume,volumen_alto,recall,0.663938778959732,0.45,0.8636363636363636,29
slice_news_volume,volumen_alto,precision,1.0,1.0,1.0,29
slice_news_volume,volumen_alto,accuracy,0.7559655172413793,0.5862068965517241,0.896551724137931,29
slice_news_volume,volumen_alto,pr_auc,0.9589530258931428,0.8926929030161297,0.9940476190476191,29
slice_neutrality,alta_neutralidad,f1,0.766845040931911,0.5,0.9523809523809523,25
slice_neutrality,alta_neutralidad,recall,0.6987831416863151,0.384375,1.0,25
slice_neutrality,alta_neutralidad,precision,0.8765153429903431,0.6,1.0,25
slice_neutrality,alta_neutralidad,accuracy,0.8388800000000001,0.68,0.96,25
slice_neutrality,alta_neutralidad,pr_auc,0.8906202210922006,0.7056649436090225,1.0,25
slice_neutrality,neutralidad_no_alta,f1,0.7129290542847389,0.5555555555555556,0.8421463815789473,63
slice_neutrality,neutralidad_no_alta,recall,0.6114300519045378,0.4374599358974359,0.7857142857142857,63
slice_neutrality,neutralidad_no_alta,precision,0.8665154489542771,0.7142857142857143,1.0,63
slice_neutrality,neutralidad_no_alta,accuracy,0.7616349206349207,0.6507936507936508,0.873015873015873,63
slice_neutrality,neutralidad_no_alta,pr_auc,0.8507929685933763,0.7285286839061742,0.9414350170092661,63
slice_strength,intensidad_baja,f1,0.6867650101959751,0.46153846153846156,0.8571428571428571,30
slice_strength,intensidad_baja,recall,0.5924846234603629,0.35294117647058826,0.8125,30
slice_strength,intensidad_baja,precision,0.8381216368856462,0.5995833333333334,1.0,30
slice_strength,intensidad_baja,accuracy,0.7061666666666666,0.5333333333333333,0.8666666666666667,30
slice_strength,intensidad_baja,pr_auc,0.8416637362658239,0.6403239989177489,0.9725982000455684,30
slice_strength,intensidad_media,f1,0.726410201540528,0.46153846153846156,0.9333333333333333,29
slice_strength,intensidad_media,recall,0.6369210490489902,0.3333333333333333,0.9090909090909091,29
slice_strength,intensidad_media,precision,0.8770595376845376,0.6,1.0,29
slice_strength,intensidad_media,accuracy,0.8278620689655173,0.6551724137931034,0.9655172413793104,29
slice_strength,intensidad_media,pr_auc,0.8107697864359875,0.5510882505175984,0.9693217418546366,29
slice_strength,intensidad_alta,f1,0.7799524369021849,0.5711428571428572,0.9412581699346404,29
slice_strength,intensidad_alta,recall,0.6980096587794731,0.4444444444444444,0.9333333333333333,29
slice_strength,intensidad_alta,precision,0.9049620862797334,0.6916666666666667,1.0,29
slice_strength,intensidad_alta,accuracy,0.831551724137931,0.6896551724137931,0.9655172413793104,29
slice_strength,intensidad_alta,pr_auc,0.8843455753954043,0.7035790753958135,0.9835679945054945,29
slice_time_window,inicio_periodo,f1,0.0,0.0,0.0,30
slice_time_window,inicio_periodo,recall,0.0,0.0,0.0,30
slice_time_window,inicio_periodo,precision,0.0,0.0,0.0,30
slice_time_window,inicio_periodo,accuracy,0.9357333333333334,0.8333333333333334,1.0,30
slice_time_window,inicio_periodo,pr_auc,,,,30
slice_time_window,medio_periodo,f1,0.9447123559474278,0.8484848484848485,1.0,29
slice_time_window,medio_periodo,recall,0.8979481237994443,0.7368421052631579,1.0,29
slice_time_window,medio_periodo,precision,1.0,1.0,1.0,29
slice_time_window,medio_periodo,accuracy,0.9296206896551723,0.8275862068965517,1.0,29
slice_time_window,medio_periodo,pr_auc,1.0,0.9999999999999998,1.0000000000000002,29
slice_time_window,final_periodo,f1,0.5096325646227595,0.2962962962962963,0.7142857142857143,29
slice_time_window,final_periodo,recall,0.38095216493267775,0.19226190476190477,0.6113095238095236,29
slice_time_window,final_periodo,precision,0.8068632970787383,0.5454545454545454,1.0,29
slice_time_window,final_periodo,accuracy,0.48375862068965514,0.3103448275862069,0.6551724137931034,29
slice_time_window,final_periodo,pr_auc,0.8177917685809355,0.6210532100533943,0.9643881396610403,29
slice_confidence,confianza_baja,f1,0.641042304996896,0.42857142857142855,0.8235294117647058,30
slice_confidence,confianza_baja,recall,0.538621078880102,0.3076923076923077,0.7692307692307693,30
slice_confidence,confianza_baja,precision,0.8176975108697632,0.5454545454545454,1.0,30
slice_confidence,confianza_baja,accuracy,0.6714333333333332,0.5,0.8333333333333334,30
slice_confidence,confianza_baja,pr_auc,0.7767850168352607,0.5425533359127717,0.9740015379357484,30
slice_confidence,confianza_media,f1,0.7162657667744682,0.47036199095022624,0.9090909090909091,29
slice_confidence,confianza_media,recall,0.6668217527140902,0.384375,0.9166666666666666,29
slice_confidence,confianza_media,precision,0.7958070769916359,0.5,1.0,29
slice_confidence,confianza_media,accuracy,0.7944137931034484,0.6206896551724138,0.9310344827586207,29
slice_confidence,confianza_media,pr_auc,0.761165200658957,0.5027530899052638,0.9325117419774928,29
slice_confidence,confianza_alta,f1,0.8550205964301941,0.6666666666666666,1.0,29
slice_confidence,confianza_alta,recall,0.7562263720842282,0.5,1.0,29
slice_confidence,confianza_alta,precision,1.0,1.0,1.0,29
slice_confidence,confianza_alta,accuracy,0.899103448275862,0.7586206896551724,1.0,29
slice_confidence,confianza_alta,pr_auc,0.9170864324689397,0.7710903263403263,1.0,29
