date,asset,n_news_total,sent_index_mean,sent_index_strength,share_pos,share_neg,share_neu
2025-07-03,USD/PEN,28,0.1150514730917555,0.0869345451532774,0.0357142857142857,0.0,0.9642857142857144
2025-07-07,USD/PEN,27,0.167341916097535,0.1094342749837127,0.037037037037037,0.0,0.9629629629629628
2025-07-09,USD/PEN,28,0.1065455062447914,0.0815614575679785,0.0357142857142857,0.0,0.9642857142857144
2025-07-14,USD/PEN,29,0.1522708459082862,0.1060982019705778,0.0689655172413793,0.0,0.9310344827586208
2025-07-16,USD/PEN,28,0.189610595449007,0.1344250924642536,0.1428571428571428,0.0,0.8571428571428571
2025-07-17,USD/PEN,29,0.1050313024556842,0.0790393905692456,0.0689655172413793,0.0,0.9310344827586208
2025-07-22,USD/PEN,29,0.1364395363449022,0.0983038297442942,0.0689655172413793,0.0,0.9310344827586208
2025-07-24,USD/PEN,29,0.1400115981954952,0.1010604249433202,0.0,0.0,1.0
2025-07-25,USD/PEN,27,0.1517970876561271,0.1053019322228376,0.1111111111111111,0.0,0.8888888888888888
2025-07-31,USD/PEN,30,0.0989449656568467,0.0701767478932747,0.0333333333333333,0.0,0.9666666666666668
2025-08-02,USD/PEN,29,0.1064912717917869,0.0829336898012988,0.0,0.0,1.0
2025-08-04,USD/PEN,26,0.118662671580051,0.0856042669422228,0.0384615384615384,0.0,0.9615384615384616
2025-08-05,USD/PEN,3,0.104286932076017,0.0819138465478069,0.0,0.0,1.0
2025-08-07,USD/PEN,28,0.1196672515278416,0.08916019224588,0.0357142857142857,0.0,0.9642857142857144
2025-08-08,USD/PEN,2,0.0608937758952379,0.0546440433252698,0.0,0.0,1.0
2025-08-10,USD/PEN,29,0.1928110870950181,0.1278399655574192,0.0689655172413793,0.0,0.9310344827586208
2025-08-11,USD/PEN,1,0.0310935862362384,0.0291005309960779,0.0,0.0,1.0
2025-08-13,USD/PEN,29,0.0891037018776967,0.0727388504730208,0.0,0.0,1.0
2025-08-14,USD/PEN,1,0.0458589531481266,0.041682652253971,0.0,0.0,1.0
2025-08-15,USD/PEN,27,0.1466274406347009,0.1015970603154758,0.074074074074074,0.0,0.925925925925926
2025-08-16,USD/PEN,1,0.0424908678978681,0.0385850609597722,0.0,0.0,1.0
2025-08-20,USD/PEN,28,0.1396162642299064,0.1024137216267617,0.0714285714285714,0.0,0.9285714285714286
2025-08-21,USD/PEN,28,0.1128738286040191,0.0820461111369113,0.0714285714285714,0.0,0.9285714285714286
2025-08-23,USD/PEN,29,0.1101569062548464,0.0824779586078196,0.0344827586206896,0.0,0.9655172413793104
2025-08-28,USD/PEN,28,0.1426961194457752,0.1069575495453787,0.0357142857142857,0.0,0.9642857142857144
2025-08-30,USD/PEN,29,0.1143384110182523,0.0806263129887336,0.0344827586206896,0.0,0.9655172413793104
2025-08-31,USD/PEN,28,0.1437472225100334,0.098583465140125,0.1071428571428571,0.0,0.8928571428571429
2025-09-01,USD/PEN,1,0.0348585918545722,0.0291611897068002,0.0,0.0,1.0
2025-09-02,USD/PEN,26,0.1235327300472328,0.0910322399414716,0.0384615384615384,0.0,0.9615384615384616
2025-09-04,USD/PEN,28,0.1835179625278604,0.1176439055749694,0.0714285714285714,0.0,0.9285714285714286
2025-09-06,USD/PEN,27,0.0955086513939831,0.0692953544477756,0.037037037037037,0.0,0.9629629629629628
2025-09-07,USD/PEN,29,0.171509680402433,0.1165229496135133,0.0344827586206896,0.0,0.9655172413793104
2025-09-08,USD/PEN,27,0.1492245864054119,0.1022125921312184,0.037037037037037,0.0,0.9629629629629628
2025-09-09,USD/PEN,29,0.1266377418269885,0.0893627144399979,0.0689655172413793,0.0,0.9310344827586208
2025-09-13,USD/PEN,26,0.1474877411069778,0.1022255561113527,0.1153846153846153,0.0,0.8846153846153846
2025-10-20,USD/PEN,29,0.0840245085800516,0.0667226676673861,0.0344827586206896,0.0,0.9655172413793104
2025-10-21,USD/PEN,30,0.1124404983284572,0.0832136586466291,0.0,0.0,1.0
2025-10-23,USD/PEN,29,0.0847217415555797,0.0688183393666099,0.0344827586206896,0.0,0.9655172413793104
2025-10-28,USD/PEN,27,0.1256816386141711,0.0995238932072095,0.074074074074074,0.0,0.925925925925926
2025-10-29,USD/PEN,2,0.070485713891685,0.0632563911097658,0.0,0.0,1.0
2025-10-30,USD/PEN,29,0.1514971787431116,0.1050224677229308,0.1034482758620689,0.0,0.896551724137931
2025-11-03,USD/PEN,28,0.1264198983221181,0.0928176372488513,0.0714285714285714,0.0,0.9285714285714286
2025-11-04,USD/PEN,31,0.0710019821361188,0.0472583974661098,0.032258064516129,0.032258064516129,0.935483870967742
2025-11-21,USD/PEN,28,0.0267305685805955,0.0069555923415123,0.0,0.0714285714285714,0.9285714285714286
2025-11-22,USD/PEN,28,0.1248505326719688,0.0857719085052584,0.0357142857142857,0.0,0.9642857142857144
2025-11-30,USD/PEN,27,0.0630452820548304,0.0499208815188324,0.037037037037037,0.037037037037037,0.925925925925926
2025-12-02,USD/PEN,27,0.1010517692538323,0.0788526255901173,0.0,0.0,1.0
