model,threshold,accuracy,f1_binary,f1_weighted,precision_binary,recall_binary
Baseline_lag1,0.3,0.7407407407407407,0.8372093023255814,0.6968913945658132,0.75,0.9473684210526315
Baseline_lag1,0.35,0.7407407407407407,0.8372093023255814,0.6968913945658132,0.75,0.9473684210526315
Baseline_lag1,0.4,0.7037037037037037,0.8095238095238095,0.6684303350970018,0.7391304347826086,0.8947368421052632
Baseline_lag1,0.45,0.5925925925925926,0.7027027027027027,0.5990696578931873,0.7222222222222222,0.6842105263157895
Baseline_lag1,0.5,0.48148148148148145,0.5625,0.5035774410774411,0.6923076923076923,0.47368421052631576
Baseline_lag1,0.55,0.4074074074074074,0.3333333333333333,0.3728395061728395,0.8,0.21052631578947367
Baseline_lag1,0.6,0.3333333333333333,0.1,0.20980392156862746,1.0,0.05263157894736842
Baseline_lag1,0.65,0.3333333333333333,0.1,0.20980392156862746,1.0,0.05263157894736842
Baseline_lag1,0.7,0.3333333333333333,0.1,0.20980392156862746,1.0,0.05263157894736842
