model,accuracy_mean,accuracy_std,f1_binary_mean,f1_binary_std,precision_mean,recall_mean,pr_auc_mean,pr_auc_std,elapsed_mean,folds
Baseline_lag1,0.5679738562091503,0.03188578017686398,0.5067226890756302,0.0799203402562052,0.5422222222222223,0.4916666666666666,0.646178613053613,0.08214446563453202,0.0028881072998046876,5
Var1_lag1_lag2,0.6366013071895426,0.06228041437684493,0.5811032105149752,0.10471150606350041,0.6209523809523809,0.5638888888888889,0.6794153545256487,0.17436826470117417,0.0020187854766845702,5
Var2_lags_volume_shares,0.5666666666666667,0.1173425616470443,0.44974358974358974,0.17608123760177136,0.5385714285714286,0.39166666666666666,0.6505217635487244,0.14180185536672524,0.0016183853149414062,5
Var3_full_temporal,0.5549019607843138,0.11758803893578919,0.4290909090909091,0.15743875162815932,0.5642857142857143,0.36666666666666664,0.660207240109201,0.1489499702227923,0.002200603485107422,5
