experiment,accuracy_mean,accuracy_std,f1_binary_mean,f1_binary_std,f1_weighted_mean,f1_weighted_std,precision_mean,recall_mean,pr_auc_mean,pr_auc_std,elapsed_mean,folds_validos
Baseline_lag1,0.4761904761904762,0.10910894511799617,0.5429738562091503,0.07765599159682117,0.5006288645994529,0.08647111518923682,0.7269841269841271,0.43973063973063975,0.8212626570959904,0.07663458296129495,0.003786961237589518,3
Var1_lag1_lag2,0.5,0.12371791482634836,0.5556722689075629,0.07840244939889537,0.5231410746116628,0.09950253657153357,0.7666666666666666,0.436026936026936,0.8008100429312549,0.08023718987379014,0.0034041404724121094,3
Var2_lags_volume_shares,0.4761904761904762,0.1486904285332952,0.5773420479302832,0.11915040447821632,0.5037546331663979,0.1274533197491409,0.6805555555555555,0.51010101010101,0.7758714835482512,0.03852377702388973,0.0038611888885498047,3
Var3_full_temporal,0.5,0.12371791482634842,0.6056644880174292,0.08679121693700258,0.5273066802478568,0.10579642445016725,0.6964285714285715,0.5404040404040403,0.764244098587533,0.06306583874208273,0.004031658172607422,3
