model,pr_auc,f1_binary,accuracy,elapsed_seconds,delta_pr_auc_vs_baseline,delta_f1_vs_baseline,decision,reason
Baseline_lag1,0.7771425808378964,0.5625,0.48148148148148145,0.005000114440917969,0.0,0.0,Referencia,Baseline usado como punto de comparación.
Var1_lag1_lag2,0.785881862150893,0.5333333333333333,0.48148148148148145,0.0030105113983154297,0.008739281312996505,-0.029166666666666674,Evaluar,"Mejora PR-AUC, pero requiere revisar costo o estabilidad."
Var2_lags_volume_shares,0.7456847761047696,0.5,0.4074074074074074,0.0040972232818603516,-0.03145780473312687,-0.0625,Descartar,No mejora la métrica central frente al baseline.
Var3_full_temporal,0.7412783638036204,0.5454545454545454,0.4444444444444444,0.004560232162475586,-0.035864217034276,-0.017045454545454586,Descartar,No mejora la métrica central frente al baseline.
