mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model_family
0.007105827331542969,0.0005219254000893292,0.006344366073608399,0.0019191745142177255,0.0745934328572655,,l1,liblinear,"{'clf__C': np.float64(0.0745934328572655), 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.4444444444444444,0.5,0.47058823529411764,0.47058823529411764,0.46601307189542485,0.020627103056286938,22,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4647887323943662,0.4647887323943662,0.4659154929577465,0.005296912049977881,LogisticRegression
0.007149791717529297,0.0008559303841206018,0.006488037109375,0.0012048510426114019,4.5705630998014515,,l1,liblinear,"{'clf__C': np.float64(4.5705630998014515), 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.7265318627450981,0.8170454545454545,0.5033068783068784,0.48318250377073907,0.8538690476190477,0.6767871493974436,0.15561689536338738,15,0.6703334542441391,0.6236633639125403,0.7044827092113954,0.7192458174992518,0.6048077254889604,0.6645066140712574,0.04440844294157154,LogisticRegression
0.007668066024780274,0.0014767520104598687,0.007599592208862305,0.0034566473308606923,0.006026889128682512,,l1,liblinear,"{'clf__C': np.float64(0.006026889128682512), 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.4444444444444444,0.5,0.47058823529411764,0.47058823529411764,0.46601307189542485,0.020627103056286938,22,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4647887323943662,0.4647887323943662,0.4659154929577465,0.005296912049977881,LogisticRegression
0.007603073120117187,0.0006054332990696297,0.005836963653564453,0.0023028801459751705,0.0019517224641449498,balanced,l1,liblinear,"{'clf__C': np.float64(0.0019517224641449498), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.4444444444444444,0.5,0.47058823529411764,0.47058823529411764,0.46601307189542485,0.020627103056286938,22,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4647887323943662,0.4647887323943662,0.4659154929577465,0.005296912049977881,LogisticRegression
0.00542759895324707,0.0006625503289220444,0.0025139331817626955,0.0008422988128375632,1.0129197956845732,balanced,l1,liblinear,"{'clf__C': np.float64(1.0129197956845732), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.7265318627450981,0.8253787878787878,0.5033068783068784,0.48318250377073907,0.8474587912087913,0.6771717647820589,0.1557306934885472,12,0.669913977080476,0.6230938555749457,0.7044827092113954,0.7177271984883726,0.6024324281166097,0.6635300336943598,0.044773230719056756,LogisticRegression
0.006835412979125976,0.003247532281457058,0.0032147884368896483,0.0004031167460107038,0.001267425589893723,balanced,l2,liblinear,"{'clf__C': np.float64(0.001267425589893723), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.782781862745098,0.8224587912087913,0.49430877764211095,0.4525735294117647,0.8538690476190477,0.6811984017253626,0.1716309488253727,3,0.6702394650268467,0.619138999329117,0.7111384872125457,0.7206873402031941,0.6070111245941181,0.6656430832731643,0.04630586383564955,LogisticRegression
0.005730152130126953,0.0005158750897858621,0.0028351783752441407,0.00039820598279730914,14.528246637516036,balanced,l2,liblinear,"{'clf__C': np.float64(14.528246637516036), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.7265318627450981,0.8170454545454545,0.5033068783068784,0.48318250377073907,0.8538690476190477,0.6767871493974436,0.15561689536338738,15,0.6698899952640949,0.6235662449089654,0.7055635410899247,0.7194862021146364,0.6064147043686666,0.6649841375492576,0.04424262832920697,LogisticRegression
0.005366754531860351,0.0006947595187440905,0.0026133060455322266,0.0003754524763252501,0.008111941985431923,,l1,liblinear,"{'clf__C': np.float64(0.008111941985431923), 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.4444444444444444,0.5,0.47058823529411764,0.47058823529411764,0.46601307189542485,0.020627103056286938,22,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4647887323943662,0.4647887323943662,0.4659154929577465,0.005296912049977881,LogisticRegression
0.005342912673950195,0.0005085343302582597,0.0023571014404296874,0.0008400810983486005,0.033205591037519584,balanced,l1,liblinear,"{'clf__C': np.float64(0.033205591037519584), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.4444444444444444,0.5,0.47058823529411764,0.47058823529411764,0.46601307189542485,0.020627103056286938,22,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4647887323943662,0.4647887323943662,0.4659154929577465,0.005296912049977881,LogisticRegression
0.004899311065673828,0.0005157028454732041,0.0026538848876953127,0.00034938309253854067,0.14445251022763064,,l1,liblinear,"{'clf__C': np.float64(0.14445251022763064), 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.6684465452847805,0.4444444444444444,0.5270723104056437,0.47068250377073906,0.7284000721500722,0.567809175211136,0.11156097497906854,21,0.6475376812118858,0.4714285714285714,0.6990908880215403,0.7177151609688612,0.5795285733935955,0.6230601750048909,0.0896956270302445,LogisticRegression
0.004973697662353516,0.0006137300357851448,0.0027151107788085938,0.0006833820808264147,1.1462107403425035,balanced,l2,liblinear,"{'clf__C': np.float64(1.1462107403425035), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.7265318627450981,0.8253787878787878,0.5033068783068784,0.4879901960784314,0.8538690476190477,0.6794153545256487,0.15595971719620103,8,0.6702311882457759,0.6230938555749457,0.7044361041628834,0.7186516785843489,0.6039237806024197,0.6640673214340747,0.04459406760291105,LogisticRegression
0.005339622497558594,0.0005182831889195311,0.0023396968841552734,0.0009535425285833591,0.028888383623653185,balanced,l1,liblinear,"{'clf__C': np.float64(0.028888383623653185), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.4444444444444444,0.5,0.47058823529411764,0.47058823529411764,0.46601307189542485,0.020627103056286938,22,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4647887323943662,0.4647887323943662,0.4659154929577465,0.005296912049977881,LogisticRegression
