model,accuracy_mean,accuracy_std,f1_binary_mean,f1_binary_std,pr_auc_mean,pr_auc_std,elapsed_mean,folds
Baseline_lag1,0.75,0.08333333333333337,0.8554112554112554,0.05456606495788304,0.851884252578697,0.09776614177990038,0.004587252934773763,3
Var1_lag1_lag2,0.75,0.08333333333333337,0.8554112554112554,0.05456606495788304,0.7822748316498317,0.10703212426260746,0.004563172658284505,3
Var3_full_temporal,0.75,0.08333333333333337,0.8503987240829346,0.055016295151133356,0.8326855192132969,0.06497018467225861,0.004114945729573567,3
Var2_lags_volume_shares,0.7222222222222222,0.048112522432468864,0.8330827067669172,0.02962062496780782,0.8615094730372509,0.04123040038877608,0.004727999369303386,3
