model,accuracy,f1_weighted,f1_binary,precision,recall,pr_auc,elapsed_seconds,n_train,n_test,n_features
Dummy most_frequent,0.2962962962962963,0.13544973544973546,0.0,0.0,0.0,0.7037037037037037,0.001169443130493164,61,27,1
Rule sentiment,0.6666666666666666,0.562962962962963,0.8,0.6923076923076923,0.9473684210526315,0.6685607008143688,0.0,61,27,1
Logistic baseline,0.48148148148148145,0.5035774410774411,0.5625,0.6923076923076923,0.47368421052631576,0.7771425808378964,0.0040018558502197266,61,27,1
